Node	Time	ActivationFactorID_UP_Reg
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	1
3	14	0
3	15	0
3	16	0
3	17	1
3	18	1
3	19	0
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	0
4	11	0
4	12	0
4	13	0
4	14	1
4	15	0
4	16	0
4	17	1
4	18	0
4	19	0
4	20	0
4	21	1
4	22	1
4	23	0
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	0
5	9	0
5	10	0
5	11	1
5	12	1
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	1
6	7	0
6	8	1
6	9	0
6	10	0
6	11	0
6	12	1
6	13	0
6	14	0
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	1
7	8	0
7	9	0
7	10	1
7	11	1
7	12	1
7	13	0
7	14	1
7	15	1
7	16	1
7	17	0
7	18	0
7	19	1
7	20	1
7	21	0
7	22	0
7	23	1
7	24	0
8	1	0
8	2	1
8	3	0
8	4	1
8	5	0
8	6	0
8	7	1
8	8	0
8	9	0
8	10	0
8	11	0
8	12	1
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
8	18	0
8	19	0
8	20	0
8	21	0
8	22	0
8	23	1
8	24	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	0
9	8	0
9	9	0
9	10	0
9	11	1
9	12	0
9	13	1
9	14	1
9	15	0
9	16	0
9	17	0
9	18	0
9	19	0
9	20	0
9	21	0
9	22	0
9	23	1
9	24	0
10	1	1
10	2	0
10	3	0
10	4	1
10	5	0
10	6	0
10	7	1
10	8	1
10	9	0
10	10	0
10	11	0
10	12	1
10	13	1
10	14	0
10	15	1
10	16	0
10	17	0
10	18	0
10	19	1
10	20	1
10	21	0
10	22	1
10	23	1
10	24	0
11	1	1
11	2	1
11	3	0
11	4	1
11	5	0
11	6	0
11	7	1
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	0
11	14	0
11	15	1
11	16	1
11	17	0
11	18	0
11	19	1
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
12	1	1
12	2	0
12	3	1
12	4	0
12	5	1
12	6	0
12	7	1
12	8	0
12	9	1
12	10	0
12	11	0
12	12	0
12	13	0
12	14	0
12	15	1
12	16	1
12	17	1
12	18	1
12	19	1
12	20	0
12	21	0
12	22	0
12	23	0
12	24	0
13	1	0
13	2	1
13	3	0
13	4	0
13	5	0
13	6	0
13	7	1
13	8	0
13	9	1
13	10	1
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	0
13	20	0
13	21	0
13	22	1
13	23	0
13	24	0
14	1	1
14	2	0
14	3	0
14	4	1
14	5	0
14	6	1
14	7	1
14	8	0
14	9	0
14	10	0
14	11	1
14	12	0
14	13	0
14	14	1
14	15	0
14	16	0
14	17	1
14	18	0
14	19	1
14	20	1
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	1
15	7	0
15	8	1
15	9	0
15	10	0
15	11	0
15	12	0
15	13	0
15	14	1
15	15	1
15	16	1
15	17	0
15	18	0
15	19	0
15	20	1
15	21	0
15	22	1
15	23	0
15	24	1
16	1	1
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
