Node	Time	ID_Capacity_Buy_Volume
1	1	0.4
1	2	15.0
1	3	23.2
1	4	12.1
1	5	54.2
1	6	61.1
1	7	75.5
1	8	20.7
1	9	0.3
1	10	10.8
1	11	28.0
1	12	67.2
1	13	33.4
1	14	0.0
1	15	11.2
1	16	0.0
1	17	166.6
1	18	75.8
1	19	4.5
1	20	0.0
1	21	0.0
1	22	0.0
1	23	6.9
1	24	13.3
2	1	0.0
2	2	5.0
2	3	2.0
2	4	0.0
2	5	2.1
2	6	7.3
2	7	17.3
2	8	7.4
2	9	6.4
2	10	25.8
2	11	12.3
2	12	33.8
2	13	12.8
2	14	92.7
2	15	211.7
2	16	113.2
2	17	78.7
2	18	74.8
2	19	65.6
2	20	73.9
2	21	47.9
2	22	84.6
2	23	32.7
2	24	30.3
3	1	8.9
3	2	1.7
3	3	2.5
3	4	1.5
3	5	0.9
3	6	36.1
3	7	3.1
3	8	7.7
3	9	13.2
3	10	30.8
3	11	5.1
3	12	12.9
3	13	119.5
3	14	18.0
3	15	87.8
3	16	23.1
3	17	23.8
3	18	34.2
3	19	5.4
3	20	10.1
3	21	10.3
3	22	35.1
3	23	25.6
3	24	13.8
4	1	21.7
4	2	13.6
4	3	18.7
4	4	32.9
4	5	9.1
4	6	19.8
4	7	7.0
4	8	0.0
4	9	37.3
4	10	47.4
4	11	37.0
4	12	7.3
4	13	2.4
4	14	9.9
4	15	5.5
4	16	41.2
4	17	76.6
4	18	4.1
4	19	10.2
4	20	10.1
4	21	9.9
4	22	7.8
4	23	20.4
4	24	21.4
5	1	0.0
5	2	5.0
5	3	2.0
5	4	0.0
5	5	2.1
5	6	7.3
5	7	17.3
5	8	7.4
5	9	6.4
5	10	25.8
5	11	12.3
5	12	33.8
5	13	12.8
5	14	92.7
5	15	211.7
5	16	113.2
5	17	78.7
5	18	74.8
5	19	65.6
5	20	73.9
5	21	47.9
5	22	84.6
5	23	32.7
5	24	30.3
6	1	0.4
6	2	15.0
6	3	23.2
6	4	12.1
6	5	54.2
6	6	61.1
6	7	75.5
6	8	20.7
6	9	0.3
6	10	10.8
6	11	28.0
6	12	67.2
6	13	33.4
6	14	0.0
6	15	11.2
6	16	0.0
6	17	166.6
6	18	75.8
6	19	4.5
6	20	0.0
6	21	0.0
6	22	0.0
6	23	6.9
6	24	13.3
7	1	0.0
7	2	5.0
7	3	2.0
7	4	0.0
7	5	2.1
7	6	7.3
7	7	17.3
7	8	7.4
7	9	6.4
7	10	25.8
7	11	12.3
7	12	33.8
7	13	12.8
7	14	92.7
7	15	211.7
7	16	113.2
7	17	78.7
7	18	74.8
7	19	65.6
7	20	73.9
7	21	47.9
7	22	84.6
7	23	32.7
7	24	30.3
8	1	0.4
8	2	15.0
8	3	23.2
8	4	12.1
8	5	54.2
8	6	61.1
8	7	75.5
8	8	20.7
8	9	0.3
8	10	10.8
8	11	28.0
8	12	67.2
8	13	33.4
8	14	0.0
8	15	11.2
8	16	0.0
8	17	166.6
8	18	75.8
8	19	4.5
8	20	0.0
8	21	0.0
8	22	0.0
8	23	6.9
8	24	13.3
9	1	0.4
9	2	15.0
9	3	23.2
9	4	12.1
9	5	54.2
9	6	61.1
9	7	75.5
9	8	20.7
9	9	0.3
9	10	10.8
9	11	28.0
9	12	67.2
9	13	33.4
9	14	0.0
9	15	11.2
9	16	0.0
9	17	166.6
9	18	75.8
9	19	4.5
9	20	0.0
9	21	0.0
9	22	0.0
9	23	6.9
9	24	13.3
10	1	6.4
10	2	2.2
10	3	0.0
10	4	0.0
10	5	0.0
10	6	0.0
10	7	1.9
10	8	56.7
10	9	41.1
10	10	42.8
10	11	247.2
10	12	36.3
10	13	88.8
10	14	23.7
10	15	113.5
10	16	455.4
10	17	144.6
10	18	130.0
10	19	65.1
10	20	95.4
10	21	59.1
10	22	67.1
10	23	88.8
10	24	107.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	0.0
11	8	0.0
11	9	0.0
11	10	0.1
11	11	16.9
11	12	4.4
11	13	1.7
11	14	5.0
11	15	2.1
11	16	10.5
11	17	12.3
11	18	4.6
11	19	17.8
11	20	11.5
11	21	5.5
11	22	16.9
11	23	14.6
11	24	11.0
12	1	10.2
12	2	42.5
12	3	50.0
12	4	44.6
12	5	32.9
12	6	5.0
12	7	8.8
12	8	31.8
12	9	20.9
12	10	2.0
12	11	0.0
12	12	9.1
12	13	14.6
12	14	31.2
12	15	25.3
12	16	16.0
12	17	45.7
12	18	12.4
12	19	46.0
12	20	9.5
12	21	0.5
12	22	4.2
12	23	27.9
12	24	56.5
13	1	0.4
13	2	15.0
13	3	23.2
13	4	12.1
13	5	54.2
13	6	61.1
13	7	75.5
13	8	20.7
13	9	0.3
13	10	10.8
13	11	28.0
13	12	67.2
13	13	33.4
13	14	0.0
13	15	11.2
13	16	0.0
13	17	166.6
13	18	75.8
13	19	4.5
13	20	0.0
13	21	0.0
13	22	0.0
13	23	6.9
13	24	13.3
14	1	0.4
14	2	15.0
14	3	23.2
14	4	12.1
14	5	54.2
14	6	61.1
14	7	75.5
14	8	20.7
14	9	0.3
14	10	10.8
14	11	28.0
14	12	67.2
14	13	33.4
14	14	0.0
14	15	11.2
14	16	0.0
14	17	166.6
14	18	75.8
14	19	4.5
14	20	0.0
14	21	0.0
14	22	0.0
14	23	6.9
14	24	13.3
