Node	Time	CapacityDownPrice
1	1	3.0
1	2	3.0
1	3	3.0
1	4	3.0
1	5	3.0
1	6	2.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	4.0
1	13	6.0
1	14	8.5
1	15	4.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.0
1	24	3.0
2	1	14.0
2	2	12.0
2	3	17.0
2	4	18.0
2	5	18.0
2	6	17.0
2	7	9.0
2	8	4.0
2	9	4.0
2	10	4.0
2	11	3.0
2	12	2.0
2	13	2.0
2	14	2.0
2	15	2.0
2	16	1.5
2	17	1.5
2	18	1.5
2	19	1.5
2	20	2.0
2	21	2.0
2	22	2.0
2	23	5.0
2	24	12.0
3	1	4.0
3	2	5.0
3	3	6.0
3	4	6.0
3	5	7.0
3	6	5.0
3	7	3.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	2.0
3	12	6.5
3	13	9.0
3	14	12.0
3	15	9.0
3	16	2.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	3.0
3	24	7.0
4	1	9.0
4	2	9.0
4	3	9.0
4	4	9.0
4	5	9.0
4	6	8.0
4	7	2.0
4	8	2.0
4	9	2.5
4	10	2.0
4	11	2.0
4	12	6.0
4	13	6.0
4	14	6.0
4	15	5.0
4	16	4.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	4.0
4	24	6.0
5	1	2.0
5	2	3.0
5	3	3.0
5	4	2.0
5	5	2.0
5	6	2.0
5	7	2.0
5	8	3.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	2.0
5	13	2.0
5	14	2.0
5	15	2.0
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	2.0
6	6	2.5
6	7	2.0
6	8	2.0
6	9	2.5
6	10	2.0
6	11	2.5
6	12	2.5
6	13	2.0
6	14	2.0
6	15	2.0
6	16	2.0
6	17	2.5
6	18	2.5
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	2.0
