Node	Time	Spot_Price
3	1	49.65
3	2	47.54
3	3	44.98
3	4	48.1
3	5	51.94
3	6	55.68
3	7	57.17
3	8	56.83
3	9	56.1
3	10	54.11
3	11	49.83
3	12	48.75
3	13	44.78
3	14	44.55
3	15	44.98
3	16	45.72
3	17	44.94
3	18	48.86
3	19	50.08
3	20	51.48
3	21	48.99
3	22	44.86
3	23	30.52
3	24	44.65
4	1	35.05
4	2	35.08
4	3	35.12
4	4	35.51
4	5	38.68
4	6	42.64
4	7	48.91
4	8	92.99
4	9	75.38
4	10	59.97
4	11	42.89
4	12	42.48
4	13	39.83
4	14	39.26
4	15	38.5
4	16	37.72
4	17	39.02
4	18	39.66
4	19	39.65
4	20	39.18
4	21	37.24
4	22	35.84
4	23	35.75
4	24	35.96
5	1	41.44
5	2	40.43
5	3	38.29
5	4	35.05
5	5	39.07
5	6	41.52
5	7	44.95
5	8	55.28
5	9	67.09
5	10	59.64
5	11	59.59
5	12	60.48
5	13	61.23
5	14	66.71
5	15	75.32
5	16	90.64
5	17	92.57
5	18	98.66
5	19	96.93
5	20	93.26
5	21	87.11
5	22	78.67
5	23	74.64
5	24	67.46
6	1	64.02
6	2	62.77
6	3	62.17
6	4	62.74
6	5	64.92
6	6	68.58
6	7	80.97
6	8	103.55
6	9	105.33
6	10	84.68
6	11	73.39
6	12	69.67
6	13	67.32
6	14	67.21
6	15	68.38
6	16	69.96
6	17	77.24
6	18	96.9
6	19	115.87
6	20	115.55
6	21	90.5
6	22	77.67
6	23	72.88
6	24	65.55
7	1	-0.04
7	2	-0.07
7	3	-0.07
7	4	-0.07
7	5	-0.06
7	6	0.66
7	7	2.91
7	8	3.55
7	9	3.85
7	10	3.59
7	11	2.99
7	12	2.94
7	13	2.91
7	14	2.63
7	15	2.35
7	16	3.24
7	17	4.14
7	18	4.94
7	19	5.9
7	20	4.41
7	21	3.7
7	22	2.96
7	23	1.99
7	24	3.97
8	1	31.34
8	2	29.64
8	3	29.62
8	4	28.97
8	5	26.88
8	6	34.37
8	7	36.61
8	8	37.89
8	9	36.01
8	10	18.53
8	11	5.65
8	12	0.85
8	13	-0.01
8	14	-0.19
8	15	0.83
8	16	6.68
8	17	18.81
8	18	28.92
8	19	34.37
8	20	36.08
8	21	34.19
8	22	34.38
8	23	32.02
8	24	20.39
9	1	12.68
9	2	10.88
9	3	10.47
9	4	10.5
9	5	10.76
9	6	13.19
9	7	55.56
9	8	90.0
9	9	65.35
9	10	57.88
9	11	55.86
9	12	55.03
9	13	54.62
9	14	54.43
9	15	54.34
9	16	54.07
9	17	54.53
9	18	55.34
9	19	50.52
9	20	43.92
9	21	20.94
9	22	13.97
9	23	13.28
9	24	19.22
10	1	48.2
10	2	45.95
10	3	45.48
10	4	48.3
10	5	50.73
10	6	89.57
10	7	114.78
10	8	109.06
10	9	88.82
10	10	81.56
10	11	69.91
10	12	55.31
10	13	50.25
10	14	40.05
10	15	36.41
10	16	51.76
10	17	58.63
10	18	79.53
10	19	79.99
10	20	97.57
10	21	99.95
10	22	74.21
10	23	50.55
10	24	52.97
11	1	30.7
11	2	30.9
11	3	30.89
11	4	30.78
11	5	31.23
11	6	32.86
11	7	34.86
11	8	35.5
11	9	35.51
11	10	35.53
11	11	35.2
11	12	33.08
11	13	31.18
11	14	29.88
11	15	30.81
11	16	32.85
11	17	35.49
11	18	35.5
11	19	35.54
11	20	35.51
11	21	35.23
11	22	34.29
11	23	32.28
11	24	30.06
12	1	19.45
12	2	20.31
12	3	19.71
12	4	21.45
12	5	22.32
12	6	26.22
12	7	30.96
12	8	35.67
12	9	40.71
12	10	41.25
12	11	41.32
12	12	40.61
12	13	39.43
12	14	41.66
12	15	55.11
12	16	67.88
12	17	62.32
12	18	85.87
12	19	61.42
12	20	56.52
12	21	69.53
12	22	54.66
12	23	41.58
12	24	37.47
13	1	13.22
13	2	5.46
13	3	3.72
13	4	3.25
13	5	15.01
13	6	34.72
13	7	44.12
13	8	46.43
13	9	40.2
13	10	34.03
13	11	19.96
13	12	4.23
13	13	2.95
13	14	4.13
13	15	18.81
13	16	31.95
13	17	35.25
13	18	37.19
13	19	36.52
13	20	35.85
13	21	34.53
13	22	32.44
13	23	27.27
13	24	17.59
14	1	77.34
14	2	74.8
14	3	72.96
14	4	72.58
14	5	75.17
14	6	78.49
14	7	88.6
14	8	107.84
14	9	125.89
14	10	122.17
14	11	110.9
14	12	107.95
14	13	93.55
14	14	87.62
14	15	86.43
14	16	94.25
14	17	99.52
14	18	104.68
14	19	103.26
14	20	94.53
14	21	86.97
14	22	80.54
14	23	77.43
14	24	71.33
