Node	Time	ActivationFactorID_Dwn_Reg
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	1
16	17	0
16	18	0
16	19	1
16	20	0
16	21	0
16	22	1
16	23	1
16	24	0
17	1	0
17	2	0
17	3	1
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	1
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
17	18	0
17	19	0
17	20	0
17	21	0
17	22	0
17	23	0
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	1
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
18	18	0
18	19	0
18	20	0
18	21	0
18	22	1
18	23	0
18	24	1
19	1	0
19	2	0
19	3	1
19	4	0
19	5	0
19	6	0
19	7	0
19	8	1
19	9	1
19	10	0
19	11	1
19	12	0
19	13	0
19	14	1
19	15	1
19	16	0
19	17	0
19	18	0
19	19	0
19	20	0
19	21	0
19	22	0
19	23	0
19	24	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	1
20	7	0
20	8	0
20	9	1
20	10	0
20	11	0
20	12	0
20	13	1
20	14	1
20	15	0
20	16	0
20	17	0
20	18	0
20	19	0
20	20	0
20	21	0
20	22	0
20	23	0
20	24	0
21	1	1
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	1
21	15	1
21	16	1
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	1
22	2	0
22	3	1
22	4	1
22	5	0
22	6	0
22	7	1
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	1
22	14	1
22	15	1
22	16	0
22	17	1
22	18	0
22	19	0
22	20	1
22	21	0
22	22	0
22	23	0
22	24	1
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
23	18	0
23	19	0
23	20	0
23	21	1
23	22	0
23	23	0
23	24	1
24	1	0
24	2	0
24	3	1
24	4	0
24	5	1
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	1
24	14	0
24	15	0
24	16	0
24	17	0
24	18	0
24	19	1
24	20	0
24	21	1
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	1
25	9	1
25	10	0
25	11	1
25	12	0
25	13	0
25	14	0
25	15	1
25	16	0
25	17	1
25	18	1
25	19	0
25	20	0
25	21	0
25	22	0
25	23	0
25	24	1
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	0
26	10	1
26	11	0
26	12	0
26	13	1
26	14	0
26	15	1
26	16	0
26	17	0
26	18	0
26	19	1
26	20	1
26	21	0
26	22	0
26	23	1
26	24	0
27	1	0
27	2	0
27	3	0
27	4	1
27	5	1
27	6	0
27	7	0
27	8	1
27	9	1
27	10	1
27	11	0
27	12	0
27	13	1
27	14	0
27	15	0
27	16	0
27	17	1
27	18	1
27	19	0
27	20	0
27	21	0
27	22	0
27	23	0
27	24	0
28	1	0
28	2	1
28	3	0
28	4	0
28	5	0
28	6	0
28	7	1
28	8	0
28	9	1
28	10	0
28	11	0
28	12	0
28	13	0
28	14	0
28	15	1
28	16	0
28	17	0
28	18	0
28	19	1
28	20	0
28	21	0
28	22	0
28	23	0
28	24	1
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	1
29	7	0
29	8	0
29	9	1
29	10	0
29	11	1
29	12	0
29	13	0
29	14	1
29	15	1
29	16	0
29	17	0
29	18	0
29	19	0
29	20	1
29	21	0
29	22	0
29	23	0
29	24	1
30	1	0
30	2	0
30	3	0
30	4	1
30	5	0
30	6	0
30	7	1
30	8	0
30	9	0
30	10	0
30	11	0
30	12	0
30	13	0
30	14	0
30	15	0
30	16	0
30	17	1
30	18	1
30	19	0
30	20	0
30	21	0
30	22	0
30	23	0
30	24	1
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	1
31	8	0
31	9	0
31	10	1
31	11	0
31	12	0
31	13	0
31	14	1
31	15	0
31	16	0
31	17	0
31	18	0
31	19	0
31	20	0
31	21	0
31	22	0
31	23	0
31	24	0
32	1	0
32	2	0
32	3	1
32	4	0
32	5	0
32	6	0
32	7	1
32	8	0
32	9	1
32	10	0
32	11	1
32	12	0
32	13	1
32	14	0
32	15	1
32	16	0
32	17	0
32	18	0
32	19	0
32	20	0
32	21	1
32	22	0
32	23	1
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	1
33	7	0
33	8	1
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	1
33	17	0
33	18	0
33	19	0
33	20	0
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	1
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	1
34	18	0
34	19	0
34	20	1
34	21	0
34	22	0
34	23	0
34	24	1
35	1	0
35	2	1
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	1
35	18	0
35	19	0
35	20	0
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	1
36	8	0
36	9	0
36	10	0
36	11	1
36	12	0
36	13	0
36	14	1
36	15	0
36	16	1
36	17	0
36	18	0
36	19	0
36	20	0
36	21	1
36	22	0
36	23	1
36	24	0
37	1	1
37	2	0
37	3	0
37	4	0
37	5	1
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	1
37	13	1
37	14	0
37	15	0
37	16	0
37	17	0
37	18	0
37	19	0
37	20	0
37	21	1
37	22	0
37	23	1
37	24	0
38	1	1
38	2	0
38	3	0
38	4	0
38	5	0
38	6	1
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	1
38	14	1
38	15	0
38	16	0
38	17	0
38	18	1
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
39	1	0
39	2	0
39	3	1
39	4	1
39	5	0
39	6	1
39	7	1
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	1
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	1
40	7	0
40	8	0
40	9	0
40	10	0
40	11	1
40	12	0
40	13	0
40	14	1
40	15	0
40	16	0
40	17	0
40	18	0
40	19	1
40	20	0
40	21	0
40	22	0
40	23	0
40	24	0
41	1	0
41	2	0
41	3	0
41	4	1
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	1
41	11	0
41	12	0
41	13	1
41	14	0
41	15	0
41	16	0
41	17	0
41	18	0
41	19	0
41	20	1
41	21	0
41	22	1
41	23	0
41	24	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	1
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
42	18	0
42	19	1
42	20	0
42	21	0
42	22	0
42	23	1
42	24	0
43	1	0
43	2	1
43	3	1
43	4	0
43	5	0
43	6	1
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	1
43	15	1
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	1
44	1	1
44	2	1
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	1
44	10	0
44	11	1
44	12	1
44	13	0
44	14	0
44	15	0
44	16	0
44	17	1
44	18	0
44	19	0
44	20	1
44	21	0
44	22	0
44	23	0
44	24	0
45	1	0
45	2	0
45	3	0
45	4	1
45	5	0
45	6	0
45	7	0
45	8	1
45	9	0
45	10	1
45	11	0
45	12	0
45	13	1
45	14	0
45	15	1
45	16	0
45	17	0
45	18	0
45	19	0
45	20	0
45	21	1
45	22	1
45	23	0
45	24	1
46	1	0
46	2	0
46	3	0
46	4	1
46	5	1
46	6	0
46	7	0
46	8	0
46	9	1
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	0
46	18	0
46	19	0
46	20	0
46	21	0
46	22	0
46	23	0
46	24	0
47	1	0
47	2	0
47	3	1
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	1
47	12	0
47	13	0
47	14	0
47	15	1
47	16	0
47	17	0
47	18	0
47	19	0
47	20	0
47	21	1
47	22	0
47	23	0
47	24	0
48	1	0
48	2	0
48	3	1
48	4	1
48	5	0
48	6	0
48	7	0
48	8	1
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0
48	14	0
48	15	0
48	16	1
48	17	1
48	18	1
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0
48	24	0
49	1	0
49	2	0
49	3	1
49	4	1
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	1
49	11	0
49	12	0
49	13	0
49	14	0
49	15	0
49	16	0
49	17	1
49	18	0
49	19	1
49	20	0
49	21	0
49	22	0
49	23	0
49	24	0
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	0
50	15	0
50	16	0
50	17	0
50	18	1
50	19	0
50	20	0
50	21	0
50	22	0
50	23	0
50	24	0
51	1	0
51	2	0
51	3	0
51	4	0
51	5	0
51	6	0
51	7	1
51	8	0
51	9	0
51	10	0
51	11	0
51	12	0
51	13	0
51	14	1
51	15	0
51	16	0
51	17	0
51	18	0
51	19	0
51	20	0
51	21	0
51	22	0
51	23	0
51	24	1
52	1	0
52	2	0
52	3	1
52	4	0
52	5	0
52	6	0
52	7	0
52	8	0
52	9	1
52	10	0
52	11	0
52	12	0
52	13	0
52	14	0
52	15	0
52	16	0
52	17	0
52	18	0
52	19	0
52	20	0
52	21	0
52	22	0
52	23	0
52	24	0
53	1	0
53	2	0
53	3	0
53	4	0
53	5	0
53	6	0
53	7	0
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0
53	17	0
53	18	0
53	19	0
53	20	0
53	21	0
53	22	0
53	23	1
53	24	0
54	1	0
54	2	0
54	3	1
54	4	0
54	5	0
54	6	0
54	7	0
54	8	0
54	9	0
54	10	0
54	11	0
54	12	0
54	13	1
54	14	0
54	15	0
54	16	0
54	17	0
54	18	0
54	19	0
54	20	0
54	21	1
54	22	0
54	23	0
54	24	0
55	1	0
55	2	0
55	3	0
55	4	0
55	5	0
55	6	0
55	7	1
55	8	0
55	9	0
55	10	0
55	11	1
55	12	1
55	13	0
55	14	0
55	15	1
55	16	0
55	17	1
55	18	0
55	19	1
55	20	0
55	21	0
55	22	0
55	23	0
55	24	1
56	1	0
56	2	0
56	3	1
56	4	1
56	5	1
56	6	0
56	7	0
56	8	0
56	9	0
56	10	0
56	11	1
56	12	1
56	13	1
56	14	0
56	15	0
56	16	0
56	17	0
56	18	0
56	19	0
56	20	0
56	21	0
56	22	1
56	23	1
56	24	0
57	1	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0
57	7	0
57	8	0
57	9	0
57	10	1
57	11	0
57	12	0
57	13	0
57	14	0
57	15	0
57	16	1
57	17	0
57	18	0
57	19	0
57	20	1
57	21	1
57	22	1
57	23	0
57	24	0
58	1	0
58	2	1
58	3	0
58	4	1
58	5	0
58	6	0
58	7	0
58	8	0
58	9	0
58	10	0
58	11	1
58	12	0
58	13	0
58	14	0
58	15	0
58	16	0
58	17	0
58	18	0
58	19	0
58	20	0
58	21	1
58	22	0
58	23	1
58	24	0
59	1	1
59	2	0
59	3	0
59	4	0
59	5	0
59	6	0
59	7	1
59	8	0
59	9	0
59	10	1
59	11	0
59	12	0
59	13	0
59	14	0
59	15	1
59	16	0
59	17	1
59	18	0
59	19	1
59	20	0
59	21	0
59	22	0
59	23	0
59	24	0
60	1	1
60	2	0
60	3	0
60	4	0
60	5	0
60	6	0
60	7	0
60	8	0
60	9	0
60	10	0
60	11	0
60	12	0
60	13	1
60	14	0
60	15	1
60	16	1
60	17	0
60	18	0
60	19	0
60	20	0
60	21	0
60	22	0
60	23	0
60	24	0
61	1	0
61	2	0
61	3	0
61	4	0
61	5	0
61	6	0
61	7	0
61	8	1
61	9	0
61	10	0
61	11	0
61	12	1
61	13	0
61	14	0
61	15	1
61	16	1
61	17	0
61	18	0
61	19	0
61	20	0
61	21	0
61	22	0
61	23	1
61	24	0
62	1	0
62	2	0
62	3	1
62	4	1
62	5	0
62	6	1
62	7	0
62	8	0
62	9	0
62	10	1
62	11	0
62	12	0
62	13	0
62	14	0
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	0
62	22	0
62	23	0
62	24	0
63	1	0
63	2	0
63	3	0
63	4	0
63	5	0
63	6	1
63	7	0
63	8	0
63	9	0
63	10	0
63	11	1
63	12	0
63	13	0
63	14	0
63	15	0
63	16	0
63	17	0
63	18	0
63	19	0
63	20	0
63	21	0
63	22	0
63	23	0
63	24	0
64	1	1
64	2	1
64	3	0
64	4	0
64	5	0
64	6	0
64	7	0
64	8	0
64	9	0
64	10	1
64	11	1
64	12	0
64	13	0
64	14	0
64	15	0
64	16	0
64	17	0
64	18	0
64	19	0
64	20	0
64	21	0
64	22	1
64	23	0
64	24	0
65	1	0
65	2	0
65	3	1
65	4	0
65	5	0
65	6	0
65	7	0
65	8	0
65	9	0
65	10	0
65	11	0
65	12	0
65	13	0
65	14	0
65	15	0
65	16	0
65	17	0
65	18	1
65	19	0
65	20	0
65	21	0
65	22	0
65	23	1
65	24	0
66	1	0
66	2	0
66	3	0
66	4	0
66	5	0
66	6	0
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0
66	12	0
66	13	0
66	14	0
66	15	1
66	16	0
66	17	0
66	18	1
66	19	0
66	20	0
66	21	0
66	22	1
66	23	0
66	24	0
67	1	0
67	2	0
67	3	0
67	4	0
67	5	0
67	6	1
67	7	0
67	8	1
67	9	0
67	10	0
67	11	0
67	12	0
67	13	0
67	14	0
67	15	0
67	16	0
67	17	0
67	18	1
67	19	0
67	20	1
67	21	1
67	22	0
67	23	0
67	24	0
68	1	1
68	2	0
68	3	0
68	4	0
68	5	0
68	6	0
68	7	0
68	8	1
68	9	0
68	10	0
68	11	0
68	12	0
68	13	0
68	14	1
68	15	1
68	16	0
68	17	0
68	18	1
68	19	0
68	20	0
68	21	0
68	22	1
68	23	1
68	24	0
69	1	0
69	2	0
69	3	0
69	4	0
69	5	0
69	6	0
69	7	1
69	8	0
69	9	0
69	10	0
69	11	0
69	12	0
69	13	0
69	14	0
69	15	0
69	16	0
69	17	0
69	18	0
69	19	0
69	20	0
69	21	0
69	22	0
69	23	0
69	24	0
70	1	0
70	2	0
70	3	0
70	4	0
70	5	1
70	6	0
70	7	1
70	8	0
70	9	0
70	10	1
70	11	0
70	12	0
70	13	0
70	14	0
70	15	1
70	16	1
70	17	1
70	18	0
70	19	0
70	20	1
70	21	0
70	22	0
70	23	0
70	24	0
71	1	0
71	2	1
71	3	0
71	4	1
71	5	1
71	6	0
71	7	0
71	8	0
71	9	0
71	10	1
71	11	0
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0
71	17	1
71	18	0
71	19	0
71	20	1
71	21	0
71	22	0
71	23	1
71	24	0
72	1	0
72	2	0
72	3	0
72	4	0
72	5	0
72	6	0
72	7	1
72	8	1
72	9	0
72	10	0
72	11	1
72	12	0
72	13	0
72	14	0
72	15	0
72	16	1
72	17	0
72	18	0
72	19	0
72	20	0
72	21	0
72	22	0
72	23	0
72	24	0
73	1	0
73	2	1
73	3	0
73	4	0
73	5	1
73	6	1
73	7	0
73	8	0
73	9	0
73	10	0
73	11	0
73	12	1
73	13	1
73	14	0
73	15	0
73	16	1
73	17	1
73	18	0
73	19	1
73	20	0
73	21	0
73	22	1
73	23	0
73	24	0
74	1	0
74	2	0
74	3	1
74	4	1
74	5	1
74	6	0
74	7	0
74	8	0
74	9	0
74	10	1
74	11	0
74	12	0
74	13	1
74	14	0
74	15	0
74	16	0
74	17	1
74	18	0
74	19	0
74	20	0
74	21	0
74	22	0
74	23	0
74	24	0
75	1	0
75	2	0
75	3	0
75	4	1
75	5	0
75	6	0
75	7	0
75	8	0
75	9	0
75	10	0
75	11	0
75	12	0
75	13	0
75	14	0
75	15	0
75	16	0
75	17	0
75	18	1
75	19	1
75	20	0
75	21	0
75	22	0
75	23	1
75	24	1
76	1	0
76	2	1
76	3	0
76	4	0
76	5	0
76	6	0
76	7	0
76	8	0
76	9	0
76	10	0
76	11	0
76	12	0
76	13	0
76	14	0
76	15	1
76	16	0
76	17	0
76	18	0
76	19	1
76	20	0
76	21	0
76	22	0
76	23	0
76	24	1
77	1	0
77	2	0
77	3	0
77	4	0
77	5	0
77	6	0
77	7	1
77	8	0
77	9	0
77	10	0
77	11	1
77	12	0
77	13	0
77	14	1
77	15	0
77	16	0
77	17	0
77	18	0
77	19	0
77	20	0
77	21	0
77	22	1
77	23	0
77	24	0
78	1	1
78	2	0
78	3	0
78	4	1
78	5	1
78	6	0
78	7	0
78	8	1
78	9	0
78	10	1
78	11	1
78	12	0
78	13	0
78	14	0
78	15	1
78	16	1
78	17	0
78	18	0
78	19	1
78	20	0
78	21	0
78	22	0
78	23	0
78	24	0
79	1	0
79	2	1
79	3	0
79	4	1
79	5	1
79	6	0
79	7	0
79	8	0
79	9	0
79	10	0
79	11	0
79	12	0
79	13	0
79	14	1
79	15	0
79	16	0
79	17	0
79	18	1
79	19	0
79	20	0
79	21	1
79	22	0
79	23	0
79	24	0
80	1	1
80	2	0
80	3	1
80	4	0
80	5	0
80	6	0
80	7	0
80	8	0
80	9	0
80	10	0
80	11	0
80	12	1
80	13	0
80	14	0
80	15	0
80	16	1
80	17	1
80	18	0
80	19	0
80	20	0
80	21	0
80	22	0
80	23	0
80	24	0
81	1	0
81	2	0
81	3	0
81	4	0
81	5	0
81	6	1
81	7	0
81	8	0
81	9	0
81	10	1
81	11	0
81	12	0
81	13	0
81	14	0
81	15	0
81	16	0
81	17	1
81	18	0
81	19	0
81	20	0
81	21	1
81	22	0
81	23	1
81	24	0
82	1	0
82	2	0
82	3	0
82	4	0
82	5	1
82	6	0
82	7	0
82	8	0
82	9	0
82	10	0
82	11	0
82	12	0
82	13	0
82	14	0
82	15	0
82	16	0
82	17	1
82	18	0
82	19	0
82	20	1
82	21	1
82	22	0
82	23	1
82	24	1
83	1	0
83	2	0
83	3	1
83	4	0
83	5	0
83	6	0
83	7	0
83	8	1
83	9	0
83	10	0
83	11	0
83	12	0
83	13	1
83	14	1
83	15	0
83	16	1
83	17	0
83	18	0
83	19	0
83	20	0
83	21	0
83	22	0
83	23	1
83	24	0
84	1	1
84	2	0
84	3	0
84	4	0
84	5	0
84	6	0
84	7	1
84	8	0
84	9	0
84	10	0
84	11	0
84	12	1
84	13	0
84	14	0
84	15	1
84	16	0
84	17	1
84	18	0
84	19	0
84	20	1
84	21	1
84	22	0
84	23	1
84	24	0
85	1	1
85	2	0
85	3	1
85	4	0
85	5	0
85	6	0
85	7	0
85	8	0
85	9	0
85	10	1
85	11	0
85	12	0
85	13	0
85	14	0
85	15	0
85	16	0
85	17	0
85	18	0
85	19	0
85	20	0
85	21	0
85	22	0
85	23	0
85	24	0
86	1	0
86	2	0
86	3	0
86	4	0
86	5	0
86	6	1
86	7	0
86	8	0
86	9	0
86	10	0
86	11	1
86	12	0
86	13	0
86	14	0
86	15	0
86	16	0
86	17	0
86	18	1
86	19	0
86	20	0
86	21	0
86	22	0
86	23	1
86	24	0
87	1	0
87	2	0
87	3	0
87	4	1
87	5	0
87	6	0
87	7	0
87	8	0
87	9	0
87	10	0
87	11	0
87	12	0
87	13	1
87	14	0
87	15	0
87	16	0
87	17	0
87	18	0
87	19	1
87	20	0
87	21	1
87	22	0
87	23	0
87	24	0
88	1	0
88	2	0
88	3	1
88	4	0
88	5	0
88	6	0
88	7	0
88	8	0
88	9	0
88	10	1
88	11	0
88	12	0
88	13	0
88	14	1
88	15	0
88	16	0
88	17	0
88	18	0
88	19	1
88	20	0
88	21	0
88	22	0
88	23	1
88	24	0
89	1	0
89	2	0
89	3	0
89	4	1
89	5	1
89	6	0
89	7	0
89	8	0
89	9	1
89	10	0
89	11	0
89	12	0
89	13	0
89	14	0
89	15	0
89	16	0
89	17	0
89	18	0
89	19	0
89	20	0
89	21	0
89	22	1
89	23	0
89	24	0
90	1	0
90	2	0
90	3	0
90	4	0
90	5	1
90	6	0
90	7	0
90	8	1
90	9	0
90	10	1
90	11	0
90	12	0
90	13	0
90	14	1
90	15	0
90	16	0
90	17	0
90	18	0
90	19	0
90	20	0
90	21	0
90	22	1
90	23	0
90	24	0
91	1	0
91	2	1
91	3	0
91	4	1
91	5	0
91	6	1
91	7	0
91	8	0
91	9	0
91	10	0
91	11	1
91	12	0
91	13	0
91	14	0
91	15	0
91	16	0
91	17	1
91	18	0
91	19	1
91	20	0
91	21	0
91	22	0
91	23	0
91	24	0
92	1	0
92	2	1
92	3	1
92	4	1
92	5	0
92	6	0
92	7	0
92	8	0
92	9	0
92	10	1
92	11	0
92	12	0
92	13	1
92	14	1
92	15	1
92	16	0
92	17	1
92	18	0
92	19	0
92	20	0
92	21	0
92	22	0
92	23	1
92	24	0
93	1	0
93	2	0
93	3	0
93	4	0
93	5	0
93	6	0
93	7	0
93	8	0
93	9	0
93	10	0
93	11	0
93	12	1
93	13	0
93	14	0
93	15	0
93	16	1
93	17	1
93	18	0
93	19	0
93	20	1
93	21	0
93	22	0
93	23	0
93	24	1
94	1	1
94	2	0
94	3	0
94	4	1
94	5	0
94	6	0
94	7	0
94	8	0
94	9	0
94	10	1
94	11	0
94	12	1
94	13	0
94	14	1
94	15	0
94	16	0
94	17	0
94	18	1
94	19	0
94	20	0
94	21	0
94	22	0
94	23	1
94	24	0
95	1	0
95	2	0
95	3	1
95	4	0
95	5	0
95	6	1
95	7	0
95	8	1
95	9	0
95	10	0
95	11	0
95	12	0
95	13	1
95	14	0
95	15	0
95	16	0
95	17	0
95	18	0
95	19	1
95	20	0
95	21	0
95	22	0
95	23	0
95	24	1
96	1	1
96	2	0
96	3	0
96	4	1
96	5	0
96	6	0
96	7	1
96	8	0
96	9	0
96	10	0
96	11	0
96	12	1
96	13	0
96	14	1
96	15	0
96	16	0
96	17	1
96	18	0
96	19	0
96	20	0
96	21	0
96	22	0
96	23	0
96	24	0
97	1	0
97	2	0
97	3	0
97	4	0
97	5	0
97	6	0
97	7	1
97	8	0
97	9	1
97	10	1
97	11	0
97	12	0
97	13	0
97	14	0
97	15	0
97	16	0
97	17	0
97	18	0
97	19	0
97	20	0
97	21	1
97	22	0
97	23	0
97	24	0
98	1	0
98	2	0
98	3	0
98	4	1
98	5	1
98	6	1
98	7	0
98	8	0
98	9	1
98	10	0
98	11	0
98	12	1
98	13	0
98	14	0
98	15	0
98	16	0
98	17	0
98	18	1
98	19	0
98	20	0
98	21	1
98	22	0
98	23	0
98	24	0
99	1	0
99	2	0
99	3	0
99	4	0
99	5	0
99	6	1
99	7	0
99	8	0
99	9	0
99	10	1
99	11	0
99	12	0
99	13	1
99	14	0
99	15	0
99	16	0
99	17	0
99	18	0
99	19	1
99	20	0
99	21	0
